champion_chinese,champion_url,play_strats,counter_strats,champion_name_cn,champion_name_eng,play_strats_en,counter_strats_en
曙光女神 蕾欧娜,https://lol.qq.com/data/info-defail.shtml?id=89,"
- 带头冲锋，在友军攻击目标前用日光标记目标。
- 破晓之盾和天顶之刃的连招具有强劲的攻击力。
- 日蚀的伤害很大，但你必须在敌人附近才能持续其效果。","
- 当Leona释放日蚀时，你有3秒的时间躲避其造成的伤害。
- 只有位于日炎耀斑效果范围正中的敌人才会被晕眩，如果你跑得快可以避免被晕。",蕾欧娜,Leona,"-Take the lead to charge and mark the target with daylight before friendly forces attack the target.  -The combination of the Dawn Shield and the Zenith Blade has strong attack power.  -Solar eclipse damage is great, but you must be near the enemy to continue its effect. ","-When Leona releases a solar eclipse, you have 3 seconds to avoid the damage caused by it.  -Only enemies in the center of the solar flare's effect will be stunned. If you run fast, you can avoid being stunned. "
虚空先知 玛尔扎哈,https://lol.qq.com/data/info-defail.shtml?id=90,"
- 把【W虚空虫群】留到附近有敌人可供虚灵攻击或击杀时使用。
- 使用【Q虚空召唤】和【R冥府之握】来刷新敌人身上的【E煞星幻象】的持续时间。
- 在对线中避免受伤可以最大化【虚空穿越】的覆盖时长，从而显著提升Malzahar的生存能力。","
- 当Malzahar用技能命中了一个感染了【E煞星幻象】的敌人时，【E煞星幻象】的持续时间会得到刷新。
- 要离那些中了【E煞星幻象】的小兵们远一点，以免它们身上的幻象传递到你身上。
- 积累【W虚空虫群】时的Malzahar是极其危险的。",玛尔扎哈,Malzahar,"-Save [W Void Swarm] to use when there are enemies nearby for the Void to attack or kill.  -Use [Q Void Summon] and [R Grasp of the Hades] to refresh the duration of [E Fiend Phantom] on the enemy.  -Avoiding injuries in laning can maximize the coverage time of [Void Crossing], thereby significantly improving Malzahar's survivability. ","-When Malzahar uses his skills to hit an enemy infected with [E-Fairy Vision], the duration of [E-Fast Star Vision] will be refreshed.  -Stay away from the creeps who have been hit by [E-Faculty Vision], so as not to pass the illusion on them to you.  -Malzahar is extremely dangerous when accumulating [W Void Swarm]. "
刀锋之影 泰隆,https://lol.qq.com/data/info-defail.shtml?id=91,"
- 【E刺客之道】可用来抄敌人的后路，来为【Q诺克萨斯式外交】的近战攻击营造施放条件。
- 暗影突袭是很强的逃生技能，但也可以用来对敌方团队发起攻势。
- 作战前先选好目标，将所有技能都集中在一个目标身上效果甚佳，但是如果将技能分散用于多个目标，则会收效甚微。","
- Talon的攻击都是物理伤害。尽早出护甲装备，来对抗他的爆发伤害。
- Talon极其依赖暗影突袭来逃离战斗。当暗影突袭处于冷却状态时，将更Master Yi于被集火。
- Talon有着无与伦比的游走能力。确保能够时刻追踪到他的位置，或是通过进攻性的推线来迫使他呆在线上。",泰隆,Talon,"-[E Assassin's Way] can be used to copy the enemy's back path to create conditions for the melee attacks of [Q Noxian Diplomacy].  -Shadow Assault is a strong escape skill, but it can also be used to launch an offensive against an enemy team.  -Select the target before the battle. It is very effective to concentrate all the skills on one target, but if the skills are distributed to multiple targets, the effect will be little. ","-Talon's attacks are all physical damage. Out of armor equipment as early as possible to counter his burst damage.  -Talon relies heavily on Shadow Assault to escape the battle. When Shadow Assault is on cooldown, Master Yi will be set on fire.  -Talon has unparalleled walking ability. Make sure to track his position at all times, or force him to stay on the line by aggressive push. "
放逐之刃 锐雯,https://lol.qq.com/data/info-defail.shtml?id=92,"
- Riven的折翼之舞会朝着你在施法时的鼠标悬停位置施放。如果你想用这招穿插你的敌人，请确保你的敌人们处在Riven和你的鼠标悬停位置之间。
- Riven血少防低，但作为补偿，她的连招爆发很高。折翼之舞和震魂怒吼可以用来切入战斗，勇往直前可以用来逃跑和反骚扰。","
- Riven的机动性非常出色，但单个技能不能使她移动得太远。在技能间隙使用束缚/沉默会极大削减她的影响。
- Riven的所有伤害都是物理伤害，如果对面的Riven已经失控了，那么优先堆护甲。
- Riven擅长同时对付多个近战，如果要联手对付她，请在她放完她的整套连招前不要都进入肉搏范围。",锐雯,Riven,"-Riven's Wing-Folding Ball will be cast toward the position where you hovered while casting. If you want to use this trick to intersperse your enemies, please make sure your enemies are between Riven and your mouse hover position.  -Riven has less blood and low defense, but as compensation, her combo bursts are high. The Dance of Folding Wings and the Shocking Roar can be used to cut into battle, and to go forward can be used to escape and anti-harassment. ","-Riven's mobility is excellent, but a single skill cannot make her move too far. Using restraint/silence between skills will greatly reduce her influence.  -All of Riven’s damage is physical damage. If the opposite Riven has lost control, the armor will be piled first.  -Riven is good at dealing with multiple melee combat at the same time. If you want to deal with her jointly, please don't enter the melee range until she finishes her whole set of moves. "
深渊巨口 克格莫,https://lol.qq.com/data/info-defail.shtml?id=96,"
- Kog’Maw使用【W生化弹幕】时，其射程比大多数英雄都远。
- 在【E虚空淤泥】的帮助下可以施放一个完美的【R活体大炮】。
- 用【来自艾卡西亚的惊喜】来对尽可能多的敌人造成伤害。","
- Kog’Maw没有好的逃生技能，因此他是一个好的攻击/gank对象。
- 在Kog’Maw死后要远离他！
- 活体大炮的射程随着技能等级增加。
- Kog’Maw极Master Yi用生化秘法弹雾杀死纳什男爵。若Kog’Maw已经购买破败王者之刃，插眼防止其偷杀男爵是很有用的。",克格莫,Kog’Maw,"-Kog’Maw has a longer range than most heroes when using [W Biochemical Barrage].  -With the help of [E Void Sludge], you can cast a perfect [R Living Cannon].  -Use [Surprise from Icathia] to cause damage to as many enemies as possible. ","-Kog’Maw has no good escape skills, so he is a good attack/gank target.  -Stay away from Kog’Maw after his death!  -The range of the living cannon increases with the skill level.  -Kog’Maw Master Yi killed Baron Nash with biochemical mystery bullet mist. If Kog’Maw has already purchased the Blade of the Ruined King, it is very useful to cut in to prevent it from stealing the baron. "
暮光之眼 慎,https://lol.qq.com/data/info-defail.shtml?id=98,"
- 密切留意队友们，并且准备好用你的终极技能拯救他们。
- 你的能量是可以持续快速恢复的，所以可以利用这点在与使用法力的英雄们对线时逐渐积累优势。","
- 准备好躲避Shen的嘲讽，并在他失误时予以反击。
- 一旦Shen到达了6级，就要留意他用全图传送终极技能快速扭转局部战斗的局势。",慎,Shen,"-Keep an eye on your teammates and be ready to save them with your ultimate skills.  -Your energy can be recovered continuously and quickly, so you can use this to gradually accumulate advantages when laning with heroes using mana. ","-Be prepared to avoid Shen's taunts and fight back if he makes a mistake.  -Once Shen reaches level 6, pay attention to his use of full map teleport ultimate skills to quickly reverse the situation of local battles. "
光辉女郎 拉克丝,https://lol.qq.com/data/info-defail.shtml?id=99,"
- Lux有强大的区域控制技能，使用透光奇点来阻止敌人的前进或逃跑。
- 如果你不能很好的施放曲光屏障, 要切记它达到最大射程后会返回。 试着利用返回的曲光屏障保护友军。
- 透光奇点是很好的侦查工具，在进入草丛前用它来侦查草丛里的埋伏。","
- Lux有多个强大的区域控制技能。试着分散并从不同方向攻击，这样她就无法锁定某个特定区域。
- 当你贫血撤退时，要时刻准备躲避Lux的终极闪光。会有一束先于主光束的红色激光，所以看到红光时尽可能地横向躲避。",拉克丝,Lux,"-Lux has powerful area control skills and uses light-transmitting singularities to prevent enemies from moving forward or escaping.  -If you can't cast the Curved Light Barrier well, remember that it will return after reaching the maximum range. Try to use the returned curved light barrier to protect allies.  -The light-transmitting singularity is a good detection tool, use it to detect ambushes in the grass before entering the grass. ","-Lux has multiple powerful area control skills. Try to disperse and attack from different directions, so that she can't lock a certain area.  -When you retreat from anemia, be prepared to avoid the ultimate flash of Lux. There will be a red laser beam that precedes the main beam, so try to avoid it horizontally when you see red light. "
远古巫灵 泽拉斯,https://lol.qq.com/data/info-defail.shtml?id=101,"
-在敌人奔向或逃离你时施放【Q奥能脉冲】，命中率会比在敌人贴住你时高。
-【W毁灭之眼】能让目标减速，有助于【Q奥能脉冲】的命中。
-一旦你用【E冲击法球】命中了一名敌方英雄，就必定可以用【W毁灭之眼】的中心区域来命中敌人。","
- Xerath的施法距离非常惊人，但只要被靠近了拼消耗的话，大部分英雄都可以从他身上占到便宜。
- Xerath启动【R奥术仪式】需要一段很长的时间。留意他的施法动画，然后就愉快地躲技能吧。
- 【女妖面纱】将会使Xerath更难用【E冲击法球】对你发动连招。",泽拉斯,Xerath,"-Cast [Q Arcane Pulse] when the enemy is running towards or fleeing you, the hit rate will be higher than when the enemy is close to you.  -[W Destroying Eye] can slow down the target and help [Q Arcane Pulse] hit.  -Once you hit an enemy hero with [E Shock Sphere], you must be able to hit the enemy with the center area of [W Destruction Eye]. ","-Xerath's cast range is amazing, but as long as it is consumed close and hard, most heroes can take advantage of him.  -It takes a long time for Xerath to start [R Arcane Ritual]. Pay attention to his casting animation, and then hide the skills happily.  -[Banshee Veil] will make it more difficult for Xerath to use [E Shock Orb] to launch combo moves against you. "
龙血武姬 希瓦娜,https://lol.qq.com/data/info-defail.shtml?id=102,"
- Shyvana的攻击能够给她的全部技能带来好处。提供攻击速度的装备对于她而言比其他英雄更有价值。
- 【E烈焰吐息】在混线时非常值得投入点数。
- 【W烈火燎原】是打野的理想选择。野怪会受到完整持续时间的打击，并且该技能的移动速度加成能够增强她的抓人能力。
- 购买一个能够减速的装备非常有用：【冰霜之锤】，【亡者的板甲】或者【冰霜战锤】。","
- 值得注意的是，Shyvana的威力通过进攻产生，使她在对抗能够与她保持一定距离的敌人时非常吃力。
- Shyvana的所有基础技能在魔龙形态下都能攻击多个敌人。因此，在与她作战时不要聚成一团。
- 在怒气槽蓄满时，Shyvana就能使用终极技能了。在她的怒气很低时对她进行压制会非常有效。",希瓦娜,Shyvana,"-Shyvana's attacks can bring benefits to all her skills. The equipment that provides attack speed is more valuable to her than other heroes.  -[E Flame Breath] It is worth putting in points when mixing lanes.  -【W Lihuo Liaoyuan】is an ideal choice for junglers. The monster will be hit for the full duration, and the movement speed bonus of this skill can enhance her ability to catch people.  -It is very useful to buy a gear that can slow down: [Frost Hammer], [Dead’s Plate Armor] or [Frost Warhammer]. ","-It is worth noting that Shyvana's power is generated through offense, making her very difficult to fight against enemies who can keep a certain distance from her.  -All of Shyvana's basic skills can attack multiple enemies in the form of a dragon. Therefore, don't get together when fighting her.  -When the rage tank is full, Shyvana can use ultimate skills. It is very effective to suppress her when her anger is low. "
九尾妖狐 阿狸,https://lol.qq.com/data/info-defail.shtml?id=103,"
- 用【魅惑妖术】来启动你的连招，它将会使【欺诈宝珠】和【妖异狐火】更容Master Yi命中敌人。
- 在团战中用魅惑妖术先手，并用【灵魄突袭】追击落单的敌人。
- 【灵魄突袭】能够为Ahri的其它技能创造机会，它可以为【魅惑妖术】清出一条路，有助于让【欺诈宝珠】来回命中敌人两次，并且突进到敌人身边可以让【妖异狐火】更Master Yi选中目标。","
- 在终极技能【灵魄突袭】进入冷却阶段后，Ahri的生存能力可谓低得令人发指。
- 呆在小兵后面，来让【魅惑妖术】难以命中，能够显著地降低Ahri潜在的爆发伤害。",阿狸,Ahri,"-Use [Charming Hex] to activate your combo, it will make [Orb of Deception] and [Demon Foxfire] more for Master Yi to hit the enemy.  -In team battles, use the charm of magic to take the lead, and use [Spirit Assault] to chase down the single enemy.  -[Spirit Assault] can create opportunities for Ahri's other skills. It can clear a way for [Charming Hex], help [Deception Orb] hit the enemy twice, and rush to the enemy to allow [ Monster and Fox Fire] Master Yi chooses the target. ","-After the ultimate skill [Spirit Assault] enters the cooldown phase, Ahri's survivability can be described as terribly low.  -Stay behind the creeps to make [Charming Hex] difficult to hit, which can significantly reduce Ahri's potential burst damage. "
法外狂徒 格雷福斯,https://lol.qq.com/data/info-defail.shtml?id=104,"
- 【W烟幕弹】既可以用来逃命，也可以用来杀人。
- 可以用【E快速拔枪】来接近敌人，然后用【Q大号铅弹】来造成巨额的伤害。","
- Graves主要造成物理伤害，所以护甲是一个非常有效的反制手段。
- 离开烟幕弹的作用范围，能使烟幕弹作用于你的有害效果立刻消失。",格雷福斯,Graves,"-[W Smoke Bomb] can be used to escape or kill.  -You can use [E Quick Pull Gun] to approach the enemy, and then use [Q Large Lead Shot] to cause huge damage. ","-Graves mainly cause physical damage, so armor is a very effective countermeasure.  -Leaving the range of smoke bombs can make the harmful effects of smoke bombs disappear immediately. "
潮汐海灵 菲兹,https://lol.qq.com/data/info-defail.shtml?id=105,"
- Fizz在移动时能无视单位的碰撞体积，可以跨过小兵直取敌方英雄，并用你的【W海石三叉戟】的被动效果戳他——然后在几秒后开启主动效果继续戳。
- Fizz的终极技能，【R巨鲨强袭】，能够朝着一名敌人施放，或者朝着敌人即将走过的区域施放。
- Fizz的技能伤害会受到法术强度的加成——在面对高爆发队伍的威胁时，可以考虑购买【中娅沙漏】或【女妖面纱】——并且如果你有信心不靠生命值加成提供的生存能力的话，可以选择【灭世者的死亡之帽】或【巫妖之祸】。","
- 在Fizz使用他的强化攻击后的几秒里，Fizz的攻击会变得非常致命——在他的三叉戟带着闪光时，离他远一点！
- 在技能全齐的Fizz是个难以捉摸的目标——引诱他提前交出技能然后用控制或者高爆发技能好好教训他！",菲兹,Fizz,"-Fizz can ignore the collision volume of the unit when moving, and can cross the minions to take the enemy hero and poke him with the passive effect of your [W Seastone Trident]-and then activate the active effect to continue poke after a few seconds.  -Fizz’s ultimate skill, [R Giant Shark Assault], can be cast towards an enemy or towards an area where the enemy is about to walk.  -Fizz’s skill damage will be boosted by spell power-when facing the threat of a high-burst team, you can consider buying [Zhongya Hourglass] or [Banshee Veil]-and if you are confident that you don’t rely on HP to increase If you succeed in the survival ability provided, you can choose [World Destroyer’s Death Hat] or [Lich’s Bane]. ","-Within a few seconds after Fizz uses his enhanced attack, Fizz's attack will become very deadly-stay away from him when his trident is flashing!  -Fizz with all skills is an elusive target-lure him to surrender skills in advance and then use control or high explosive skills to teach him well! "
不灭狂雷 沃利贝尔,https://lol.qq.com/data/info-defail.shtml?id=106,,,沃利贝尔,Volibear,,
傲之追猎者 雷恩加尔,https://lol.qq.com/data/info-defail.shtml?id=107,"
- 在团战和遭遇战里，用Rengar的终极技能来找到并刺杀高优先级的敌方英雄。
- Rengar的大部分威力来自他在恰当时机所使用的强化技能，请明智地作出选择！
- 在追杀对方时，要多穿越草丛，来发挥Rengar被动技能的优势。","
- 在Rengar的资源槽全满时，他的技能会获得一次强化。尽量在他的资源槽较低时与他对抗。
- Rengar的被动技能能让他从草丛跳出，避免在草丛附近与他作战。
- 在终极技能的伪装期间内，Rengar会找出距离他最近的敌方英雄。",雷恩加尔,Rengar,"-In team battles and encounters, use Rengar's ultimate skills to find and assassinate high-priority enemy heroes.  -Most of Rengar's power comes from the enhanced skills he uses at the right time, please choose wisely!  -When chasing the opponent, cross the grass more to take advantage of Rengar's passive skills. ","-When Rengar's resource slot is full, his skills will be enhanced once. Try to fight him when his resource slot is low.  -Rengar's passive skills allow him to jump out of the grass and avoid fighting him near the grass.  -During the disguise period of the ultimate ability, Rengar will find the enemy hero closest to him. "
惩戒之箭 韦鲁斯,https://lol.qq.com/data/info-defail.shtml?id=110,"
- 尽早点出枯萎箭袋，有助于压制敌方英雄，以及补刀。
- 在近距离的战斗中，快速地放出穿刺之箭有时会更好一些，而不需要每次都把它蓄满之后再放。
- 试着利用穿刺之箭的超长射程来在开战前获取优势，或者在敌人逃跑时进行狙杀。","
- 如果你被施加了枯萎效果，那么Varus的技能就会对你造成额外伤害。
- 当Varus获得击杀或助攻时，他的攻击速度就会暂时得到提高，因而变得更加危险。
- 如果你被Varus的终极技能“腐败锁链”的一条藤蔓所碰到，那么你就会被禁锢在原地。只要保持距离，不让藤蔓碰到你，就能让它自然死亡。",韦鲁斯,Varus,"-Click on the withered quiver as soon as possible to help suppress enemy heroes and make up for the sword.  -In close combat, it is sometimes better to release the Piercing Arrow quickly, instead of having to charge it up each time.  -Try to use the super long range of the Piercing Arrow to gain an advantage before the start of the battle, or to snipe the enemy when the enemy is running away. ","-If you are given a blight effect, Varus' skills will cause additional damage to you.  -When Varus gets a kill or assist, his attack speed will be temporarily increased, thus becoming more dangerous.  -If you are touched by a vine in Varus' ultimate skill ""Chain of Corruption"", then you will be locked in place. As long as you keep your distance and don't let the vine touch you, you can let it die naturally. "
深海泰坦 诺提勒斯,https://lol.qq.com/data/info-defail.shtml?id=111,"
- 在抓人的时候，可以用【Q疏通航道】来瞄准附近的地形，接着使用【E暗流涌动】，以获取更高的命中率。
- 【E暗流涌动】生效比较慢——你可以利用这点在逃命的同时给敌人来个下马威。","
- 如果Nautilus贴着你放【E暗流涌动】的话，最好先呆在原地一段时间再逃跑。逃得太早的话，会跑到第二阶段的爆炸区域，使你受到额外的伤害以及减速效果。
- 当Nautilus套上护盾后，他就可以用普通攻击来输出巨额的范围伤害——如果有时间的话，不妨优先打掉他的护盾。",诺提勒斯,Nautilus,"-When catching people, you can use [Q to clear the channel] to aim at the nearby terrain, and then use [E undercurrent surge] to get a higher hit rate.  -[E undercurrent surging] takes effect more slowly-you can use this to give the enemy a threat while fleeing. ","-If Nautilus puts [E undercurrent surging] next to you, it's best to stay in place for a while before running away. If you escape too early, you will run to the second stage of the explosion area, causing you to receive additional damage and slowing effects.  -When Nautilus puts on the shield, he can use normal attacks to output a huge range of damage-if you have time, you may wish to destroy his shield first. "
机械先驱 维克托,https://lol.qq.com/data/info-defail.shtml?id=112,"
- 【E死亡射线】是一个给力的磨血技能，以及强大的区域封锁工具。将它与【W重力场】组合使用，来控制敌人的走位。
- 确保你在正确的时刻选择了正确的技能增强。","
- 要时刻注意Viktor与你的距离。离对手越近，Viktor的控场能力就越强。
- 要注意Viktor升级了哪些技能，你可以通过他手杖的颜色来识别（紫，黄，蓝，红）。",维克托,Viktor,-[E Death Ray] is a powerful blood grinding skill and a powerful area blockade tool. Combine it with [W Gravity Field] to control the enemy's position.  -Make sure you choose the right skill enhancement at the right moment. ,"-Always pay attention to the distance between Viktor and you. The closer you are to your opponent, the stronger Viktor's ability to control the field.  -Pay attention to which skills Viktor has upgraded, you can identify it by the color of his cane (purple, yellow, blue, red). "
北地之怒 瑟庄妮,https://lol.qq.com/data/info-defail.shtml?id=113,"
- 【Q极寒突袭】可用来逃离恶劣处境，打断引导技能或追杀逃亡者。
- 近战友军可以帮你的【E永冻领域】堆叠霜冻层数，要留意他们都在攻击谁。
- 在小型团战时，最好把【R极冰寒狱】留到附近有队友一起创造优势时再施放。","
- 躲掉【Q极寒突袭】和【R极冰寒狱】可以带给你巨大的优势。
- 注意躲掉【W凛冬之怒】的第二次挥击，因为这次挥击会造成爆发性的伤害。
- 近战敌人也可以为Sejuani堆叠霜冻效果，要小心地与它们周旋。",瑟庄妮,Sejuani,"-[Q Chilling Assault] can be used to escape from harsh situations, interrupt guidance skills or hunt down fugitives.  -Melee allies can help your [E Permafrost Domain] stack frost layers, pay attention to who they are attacking.  -In a small team battle, it is best to save [R Extreme Ice Cold Hell] until there are teammates nearby to create an advantage together before casting. ","-Avoiding [Q Arctic Assault] and [R Arctic Ice Hell] can give you a huge advantage.  -Be careful to avoid the second swing of [W Winter's Fury], because this swing will cause explosive damage.  -Melee enemies can also stack frost effects for Sejuani. Be careful with them. "
无双剑姬 菲奥娜,https://lol.qq.com/data/info-defail.shtml?id=114,"
- 在【决斗之舞】的帮助下，Fiora特别擅长进行快速换血。攻击破绽后的移动速度加成，既能用来毫发无伤地逃离，又能用来发起下次攻击。
- Fiora的【无双挑战】非常有用，甚至能帮她解决那些最为坚挺的对手，并在成功后提供恢复效果，所以，不要在攻击敌人的前排英雄时犹豫不决。","
- 【决斗之舞】会显示出Fiora将要尝试对你进行攻击的地方，所以准备好在她尝试时教训她。
- 在对Fiora施放禁锢类技能时要特别小心。如果她的【劳伦特心眼刀】还在可用状态，那么她就能将这类技能的效果反过来对付你。",菲奥娜,Fiora,"-With the help of [Dance of Duel], Fiora is particularly good at performing quick blood swaps. The movement speed bonus after attacking the vulnerability can be used to escape without injury, and to launch the next attack.  -Fiora's [Wushuang Challenge] is very useful, and can even help her solve the toughest opponents, and provide a recovery effect after success, so don't hesitate when attacking the enemy's front row hero. ","-[Duel Dance] will show where Fiora will try to attack you, so be prepared to teach her when she tries.  -Be especially careful when casting imprisonment skills on Fiora. If her [Laurent Heart Eye Sword] is still available, then she can reverse the effects of this type of skill against you. "
爆破鬼才 吉格斯,https://lol.qq.com/data/info-defail.shtml?id=115,"
- 即使远离团战发生地，你也可以在远处用【R科学的地狱火炮】来帮助队友。
- 用【E海克斯爆破雷区】来减速你的敌人，会使你的其它技能更Master Yi命中。
- 用【W定点爆破】来穿墙，可以在追杀或逃命时如虎添翼。","
- 别踩到Ziggs的地雷上！它们会使你减速，并且会让Ziggs的其它技能更Master Yi命中你。
- Ziggs的很多技能冷却时间都很长。可以在他刚用过技能时发起攻击。
- Ziggs的终极技能，科学的地狱火炮，会在爆炸的中心区域造成更多伤害。",吉格斯,Ziggs,"-Even if you are far away from the place where the team battle takes place, you can use the [R-Science Hell Cannon] to help your teammates at a distance.  -Use [E Hex Blast Minefield] to slow down your enemies, which will make your other skills more hit by Master Yi.  -Use [W fixed-point blasting] to penetrate the wall, you can be more powerful when chasing or escaping. ","-Don't step on the mines of Ziggs! They will slow you down and will make Ziggs' other skills more Master Yi hit you.  -Many of Ziggs' skills have long cooldowns. Can attack when he has just used the skill.  -Ziggs' ultimate skill, the scientific hell artillery, will cause more damage in the central area of the explosion. "
仙灵女巫 璐璐,https://lol.qq.com/data/info-defail.shtml?id=117,"
-【闪耀长枪】可以从古怪的角度发射出去，而这取决于你的指针位置——让你的指针靠近皮克斯和Lulu，会使它的作用范围发生极大改变。
- 可以将【奇思妙想】用在法师身上，以获取法强加成，将【帮忙，皮克斯！】用在射手身上，以使皮克斯的飞弹扔得更频繁，将【狂野生长】用在坦克或战士身上，以强化先手能力。","
- Lulu的仙灵所发出的飞弹可以被拦截——躲在你的小兵后面，来躲避仙灵额外的攻击。
- Lulu特别擅长抓对手的失误。不要给她任何机会！要不断地压制，并将她和她的搭档一起赶出经验区。",璐璐,Lulu,"-【Sparkling Spear】can be launched from weird angles, depending on the position of your pointer-bringing your pointer close to Pixar and Lulu will greatly change its range.  -You can use [Wonderful Ideas] on the wizard to obtain magical bonuses. [Help, Pixar! 】Used on the shooter to make Pixar’s missiles throw more frequently, and use [Wild Wild Long] on tanks or fighters to strengthen the ability to move forward. ","-The missiles fired by Lulu's faeries can be intercepted-hide behind your creeps to avoid extra attacks from the faeries.  -Lulu is particularly good at catching opponents' mistakes. Don't give her any chance! To keep suppressing, and drive her and her partner out of the experience zone together. "
荣耀行刑官 德莱文,https://lol.qq.com/data/info-defail.shtml?id=119,"
- 如果Draven呆在原地不动，旋转飞斧将会掉落在他所在的位置附近。也许会直接落到他身上，也许会在左边或右边。
- 如果Draven在攻击之后移动，旋转飞斧会朝着他移动的方向进行移动。利用这点来控制旋转飞斧的轨迹。","
- 朝着Draven旋转飞斧即将着陆的位置施放技巧射击。
- 干扰Draven，让他丢掉他的斧头。如果你做到了，那么他的战斗力会显著降低。",德莱文,Draven,"-If Draven stays in place, the spinning throwing axe will fall near his location. Maybe it will fall directly on him, maybe it will be on the left or right.  -If Draven moves after the attack, the spinning throwing axe will move in the direction he is moving. Use this to control the trajectory of the rotating throwing axes. ","-Cast trick shots towards the location where Draven's spinning throwing axes are about to land.  -Disturb Draven and let him throw his axe. If you do, then his combat effectiveness will be significantly reduced. "
战争之影 赫卡里姆,https://lol.qq.com/data/info-defail.shtml?id=120,"
- 【W恐惧之灵】会在周围敌人受到伤害时恢复Hecarim的生命值，即使这些伤害是Hecarim的队友造成的。在大型团战中施放这个技能，可以最大化地提升Hecarim的生存能力。
- 【E毁灭冲锋】会根据移动的距离来输出更多的伤害。试着使用【R暗影冲击】或者诸如【幽灵疾步】或【闪现】等召唤师技能来最大化此技能的伤害。","
- Hecarim可以凭借着恐惧之灵从附近敌人身上吸取生命值，但是不太抗揍，把爆发技能扔给他吧！
- Hecarim的终极技能可以让敌人惊慌失措地逃命。在团战时尽量分散，以削弱他的战斗力。",赫卡里姆,Hecarim,"-[W Fear Spirit] will restore Hecarim's health when surrounding enemies are damaged, even if the damage is caused by Hecarim's teammates. Casting this skill in a large team battle can maximize Hecarim's survivability.  -[E Destruction Charge] will output more damage according to the distance moved. Try to use [R Shadow Impact] or Summoner skills such as [Ghost Walk] or [Flash] to maximize the damage of this skill. ","-Hecarim can draw health from nearby enemies with the spirit of fear, but he is not very resistant to beatings. Throw the burst skills to him!  -Hecarim's ultimate skills can make enemies panic and flee for their lives. Disperse as much as possible during team battles to weaken his combat effectiveness. "
虚空掠夺者 卡兹克,https://lol.qq.com/data/info-defail.shtml?id=121,"
- 在身旁一段距离内没有任何友军的敌人可以被视为孤立无援。【Q品尝恐惧】会显著提升对这些目标的伤害。
- 【无形恐惧】会在Kha’Zix不被敌方队伍看见时激活。可以利用草丛或者【R虚空来袭】重复激活它。别忘了用普通攻击来给敌方英雄施加【无形恐惧】的效果。
- Kha’Zix在选择作战地点和作战时机方面有着极大的自由。谨Shen地参加团战，从而获取胜利。","
- 【Q品尝恐惧】会对孤立无援的目标造成额外伤害。在友军小兵，英雄或防御塔附近战斗，以获取优势。
- 【E跃击】和【R虚空来袭】的冷却时间很长。在它们尚未冷却完毕时，Kha’Zix的逃生能力会大减。",卡兹克,Kha’Zix,-Enemies who do not have any friendly forces within a certain distance can be considered helpless. [Q Taste Fear] will significantly increase the damage to these targets.  -[Invisible Fear] will activate when Kha’Zix is not seen by the enemy team. It can be activated repeatedly by using grass or [R Void Strikes]. Don't forget to use normal attacks to give the enemy hero the effect of [Invisible Fear].  -Kha’Zix has great freedom in choosing combat locations and combat timing. I wish Shen to participate in team battles and win victory. ,"-[Q Taste Fear] will cause extra damage to isolated targets. Fight near friendly soldiers, heroes or towers to gain an advantage.  -[E Leap Attack] and [R Void Strikes] have a long cooling time. Before they cool down, Kha’Zix’s ability to escape will be greatly reduced. "
诺克萨斯之手 德莱厄斯,https://lol.qq.com/data/info-defail.shtml?id=122,"
- 【大杀四方】是一个非常强力的压制技能。用它的最大作用距离打击敌人时，效果是最好的 。
- 你对目标施加的【出血】效果越多，【诺克萨斯断头台】的伤害越高。使用【诺克萨斯之力】来造成最大伤害。
- 提高生存能力可以让Darius获得极大的收益。战斗持续得越久，他就变得越强力。","
- 当Darius的无情铁手处于冷却过程中时，你可以轻Master Yi地对他进行压制。
- Darius的脱战能力极度有限。如果你在对抗他时占据了优势，就将他拖进你的节奏吧。",德莱厄斯,Darius,"-[Big Kill Quartet] is a very powerful suppression skill. The effect is the best when hitting the enemy with its maximum range.  -The more [Bleeding] effect you apply to the target, the higher the damage of [Noxus Guillotine]. Use [Noxus Power] to cause maximum damage.  -Improving survivability can make Darius a great benefit. The longer the battle lasted, the stronger he became. ","-When Darius's ruthless iron hand is in the process of cooling down, you can suppress Master Yi lightly.  -Darius's ability to escape combat is extremely limited. If you have an advantage against him, drag him into your rhythm. "
