champion_cn,champion,play_strats,counter_strats
卡莎,Kai’Sa,"-Try to catch the output of the opponent's order and use the Icacia rainstorm to kill it.  Activate your ultimate skills with your teammates, and use your passive to fully output damage.  Make sure to buy equipment that can evolve at least one or two skills. ","-Kai’Sa is very good at taking away single enemies. To deal with her, you have to keep a group.  Kai’Sa is very easy for Master Yi to fall into a range disadvantage when fighting against mages and ultra-long range output.  Please always make sure that you have set up guards in the blind spots so that you can see the arrival of Kai’Sa. "
萨勒芬妮,,,
纳尔,Gnar,"-Mastering your anger is very important. Try to grasp the timing of your transformation, so that you can get the most benefit from the two forms.  -Walk against the wall to lure your enemies to approach, then use your ultimate skills to stun them on the wall.  -To understand your strengths! The small Gnar is fast but fragile and can output high sustained damage. Giant Gnar is slow but strong, and can output high burst damage. ","-Gnar cannot gain anger for 15 seconds after changing from big to small. Use this opportunity to fight the other side.  -Gnar's animation and resource slots will change as he keeps approaching a deformable state.  -If you are shocked to the wall by Gnar's ultimate skill, you will suffer the dizziness effect. Be especially careful when fighting him at the wall. "
扎克,Zac,"-If you want to maintain blood volume, pay special attention to the pickup of mucus.  -When the cell division is ready, try to die where it is difficult for the enemy to kill your cell tissue.  -Try to charge the elastic slingshot out of the enemy's field of vision to make it more difficult for the enemy to react to it. ","-The mucus that splits from Zac can provide Zac with healing effects. You can smash them when you walk on them.  -After Zac splits, all cells and tissues must be killed to prevent him from reorganizing.  -When Zac charges his elastic slingshot, you can interfere with him with silence, stun, restraint, and knock-up effects. "
亚索,Yasuo,"-You can use the enemy creeps as a springboard for cutting forward to chase down enemies that have escaped; you can also rush into the opponent's hero directly and use the enemy creeps as a springboard for retreat.  -At level 18, Yasuo’s Steel Flash only needs 55% of the attack speed from the equipment to reach the upper limit of attack speed.  -Gale Breathing Slash can be cast on any floating target, even if the knock-up effect is caused by your allies. ","-The range of the steel flash is very narrow. Move as far as possible to avoid this trick.  -When Yasuo's steel flash hits twice in a row, his next steel flash will form a whirlwind. To observe his gain bar, and pay attention to the relevant sound effects, be prepared to avoid this trick.  -Yasuo is the weakest after the whirlwind and can take the opportunity to force him to fight.  -Yasuo's unyielding shield lasts only 2 seconds. Do damage to him to trigger the shield. Wait for the shield to disappear, and then go to war. "
维克兹,Vel’Koz,"-When laning, use the void rift to kill the minions, and superimpose the organic deconstruction effect on the enemy hero. Then you can pick up other skills.  -Launching plasma fission sideways and splitting it at the maximum distance will allow this skill to hit enemies beyond the initial cast range. This is also a skill worth mastering.  -Shen chooses when to use ultimate skills very carefully. Most of the hero's skills can interrupt this skill. ","-If you ignore Vel’Koz in battle, he will be very deadly. Try to set him off as early as possible.  -Vel’Koz's mobility is quite low, so Rong Master Yi was GANK.  -Stun, silence, and knock-up effects can interrupt Vel’Koz’s life form disintegration ray. "
塔莉垭,Taliyah,"-Try to use [W Yantuo] to throw the enemy on [Esa Rock Formation].  -Remember, there is no need to always take [R Wall Mantle].  -Once you have made [Relai's Ice Scepter], using [Q Stone Wear] on enemies who are chasing you can effectively make them regret it. ","-When Taliyah puts down [Eza Stonehenge] on the line, be careful to avoid her [Wyantu]. If she throws you into the minefield, there will be various stones to break your bones.  -Taliyah’s [Q Stone Wear] will lock in one direction. If she uses this skill on you, she must hide to the side as soon as possible! "
卡蜜尔,Camille,"-Try to wait for your teammates to attract the attention of the enemy team, and then use the [E hook cable] to approach the enemy's vulnerable back row heroes.  -Make good use of the control effects of your skills, so that both of your [Q Precise Etiquette] attacks can hit the enemy. ","-Camille's shield can only work on one type of damage, so try to attack her when she can't resist your damage.  -[R Hex Ultimatum] has a very short cast range, so try to keep a distance from her and flash away before she approaches you. "
布隆,Braum,"-Superimpose the [Concussion Slam] effect with your teammates to encourage them to perform basic attacks on the marked targets.  -You can use [Indestructible] to jump to the front of Crispy teammates, and then block enemy projectiles for them.  -[Glacier Fissure] will generate a powerful deceleration zone, you can use it to divide the enemy's formation and slow down the enemy's speed into the battlefield. ","-Braum must use [Winter Bite] or basic attack to apply the first layer of [Concussion Slam] effect. If you are marked, exit the combat area before taking another 3 attacks to avoid being stunned.  -Braum's ultimate ability has a long casting time, use this time to dodge. The frozen ground caused by this skill will slow you down, so if you don't need to step on it so urgently, then you can respond with Shen's walking position.  -[Indestructible] will provide Braum with super directional defense, so either go to the side or wait for him to put down the shield. "
烬,Jhin,"-[W Fatal Chromatic] has an incredible long range. Before joining a battle, observe whether there is an enemy in front that can be imprisoned by you.  -The higher the opponent's health, the lower the damage caused by your ultimate skills. Observe the situation carefully and look for opportunities to send the bloody enemies on the road.  -You can still cast skills while reloading. Use skills to survive the fragile period when reloading. ","-[W Fatal Chromatic] will only confine those enemies that were hit by Jhin's basic attack, trap, or friendly hero in the first 4 seconds.  -Jhin will place traps everywhere on the map. Beware of your feet!  -Jhin’s attack is very powerful, but he will reload the bullet after firing the fourth round. Use this time to get close to him and push him to the ground. "
千珏,Kindred,"-In the jungle, using the attack interval to move will help you avoid injuries and get more healing effects from [W Wolf Spirit Mania].  -Shen carefully choose the hunting target you want to kill; killing as many hunting targets as possible is the key to victory.  -Don't be the first in a large team fight. Wait for your teammates to start the team before joining the battle. ","-Kindred is a crispy hero-put pressure on them and they will be forced to be careful.  -Robbing camps marked by wolf spirits will delay Kindred's damage output.  -When Kindred uses [R Sheep Spirit Breath], all heroes in the range will not die. Pay attention and make good use of this. "
金克丝,Jinx,"-Rockets are not always the best choice! Jinx's light machine gun also has incredible power after warming up. When the enemy hero is about to catch you, switch to a light machine gun and shoot!  -Jinx's rocket will cause complete damage to all enemies within the explosion range. When laning, you can launch rockets at creeps to splash nearby enemy heroes without attracting the creeps' hatred.  -When the battle begins, try to stay at the edge of the battle area and use rockets and shock electromagnetic waves to bombard the opponent from a distance. Unless you think your own advantage is obvious, don't run forward and shoot with a light machine gun. ","-Jinx's light machine gun needs time to warm up before it can exert its full strength. If you see her launching a rocket from a distance, try to jump in and bring her down.  -The closer you are to Jinx, the lower the damage value her ultimate skill will cause you.  -Jinx's trap grenade has a long cooling time and is her main defense weapon. If the grenade does not hit the enemy, you will get into trouble during the battle. "
塔姆,,"-When assisting, one of your most important functions is to bring crispy friendly troops to a safe place. Pay attention to the distance and cooling time of [Feast and Eat], and move accordingly!  -Shen consider carefully when using [Thick Skin]. Sometimes it is good to get a shield early to avoid deep damage, but sometimes, the benefit of the healing effect is greater. ","-When you see Tam using [Thick Skin] to get the shield, remember that he is not able to obtain the healing effect of this skill at the cost. Only after [Thick Skin] cools down, he will accumulate new gray health points. Use this to create an advantage!  -If Tam is harassing you by spitting creeps, you can try to fight back after he spit. His [Feast and Eat] has not yet finished cooling down, so you can gain some advantage while he can't swallow you. "
佛耶戈,,,
赛娜,Senna,,
卢锡安,Lucian,"-The most ideal burst combo is the ruthless pursuit of the Holy Light.  -Zealous bombs will explode in a star shape. Try to find a front target and hit the enemy hero with the exploded stray bullet.  -Once you have chosen an angle for Holy Lance Baptism, you cannot change it anymore. Wait until the time is right!  -Thanks to the passive skill ""Silver Bullet of the Holy Spear"", Lucian gains more from attack power than from attack speed. ","-Lucian's burst damage is high, but sustained damage is relatively low.  -Lucian cannot change the aiming direction of the Holy Gun Baptism. The angle of dodge the bullet can gain an advantage.  -The Transverse Holy Light does not give Lucian an extra attack range. He still needs to find a target to trigger the Holy Light. Pay attention to predicting the angle Lucian will choose, and Master Yi will be more likely to avoid the translucent light. "
劫,Zed,"-Before you use the ultimate skills, you must accumulate energy and skill cooldown to maximize [R forbidden secrets! Instant Prison Shadow Killing Array] damage output.  -Quickly double-click [W Shadow Profound meaning! Clone], will allow Zed to immediately teleport to the location of the shadow clone to quickly escape.  -Use [W Shadow Profound meaning!] before using Death Mark once. Clone], which allows Zed to escape from the battle safely. ","-Equipment that increases attack power can increase Zed's overall output, so when fighting against Zed, the role of armor will be very obvious.  -Used his [W Shadow Profound meaning!] in Zed After the clone], he will fall into the weakest state, because his damage, deceleration, and mobility all rely on this skill.  -Zed's [Q Shadow Profound Meaning! Blades] If it passes through other units before hitting the enemy hero, its damage value will be reduced.  -Only the [E-Shadow Profound meaning of Zed's shadow clone! Ghost Slash] was slowed down, and hit Zed's [E Shadow Profound meaning! Ghost Slash] doesn't. "
克烈,Kled,"-Kled can generate some courage by killing minions, but will generate more when fighting heroes.  -[W Violent Instinct]'s last hit will cause more damage than the previous three hits-be sure to hit!  -[R punch! ! ! ]’S cast range is very impressive. Try to predict the position of the enemy team, so that you can drive Skal to teach them a lot. ","-Kled can generate courage in the following ways: 1. Use his handgun and basic attacks to cause damage to the enemy. 2. Kill the creeps. 3. Attack buildings or epic monsters.  -When Kled is in a non-riding state, pay attention to his courage gauge-when the courage gauge reaches 100%, he will return to the mounted state and restore considerable health.  -When Kled's [W Violent Disposition] is ready, he will be more threatening. "
艾克,Ekko,"-[R Time and Space Break] is an effective means of escape, but it is also very powerful when used for offense.  -If you can trigger [Z Drive Resonance] on an enemy hero, it is worth a try even if you have to take a certain risk. The movement speed bonus it provides will make you get away easily.  -[Phase E Dive] The displacement is a very good starting skill, allowing you to easily connect to Ekko's other skills. Use it to make [Q time curler] complete double hits, or reach the detonation range of [W Time Interlace]. ","-Ekko is very weak when the ultimate skill is not cool down. Pay attention to the traces he left behind to judge whether his ultimate skills are available.  -Ekko's stun area needs to be deployed for 3 seconds. Be optimistic about the illusion he created while casting the spell, and try to guess where the area is.  -The second attack of the time curler does more damage than the first one; try to avoid it. "
奇亚娜,Qiyana,,
蔚,Vi,"-A fully charged [Q Power Punch] will cause double damage. It is very effective in chasing down and smashing enemies.  -[E-Strength of the Body] Will cause full damage to anyone in the shock wave. Use it to attack the enemy minions and hit the enemy heroes hiding behind the minions.  -[R Tianba Hengkong Liehong] is a powerful first move, just remember not to leave the remaining teammates far behind. ","-A fully charged [Q Power Punch] will cause double damage. If you see Vi starts to accumulate power, you should retreat or try to avoid it.  -If Vi hits you three times in a row, she will shatter your armor and gain attack speed bonus. Try not to fight with her in a large battle.  -Vi will be immune to control effects when using ultimate skills. Remember to save your displacement skills until after her charge is completed. "
亚托克斯,Aatrox,-Use [Shadow Rush] when casting [Darkborn Blade] to increase your chance of hitting an enemy.  Control skills such as [Evil Fire Chain] or your ally’s root effect will help you [Darkborn Blade] to start.  Cast [Great Destruction] when you make sure that you can force the opponent into a battle. ,"-Aatrox's attack is very band-like, so use your time to avoid his hit area.  Aatrox's [Chain of Evil Fire] will allow Master Yi to leave more when running towards the border or Aatrox.  When Aatrox uses his ultimate ability, keep a distance to prevent him from resurrecting. "
娜美,Nami,"-[Q Bibo’s Prison] has a long cooling time. Make sure to use it at the right time.  -Use [W Shock Wave] against enemy heroes in a battle, and the team battle will tilt in your favor.  -Nami's ultimate skill is very powerful when launching a first move against a distant enemy. ","-The Prison of Bibo is a very powerful skill, but it has a long cooling time. If Nami empties this skill, then he can take the opportunity to gain an advantage.  -The roar of the raging waves has a very long range, but it travels very slowly. Pay attention to the direction it travels, and then avoid it.  -Try to avoid fighting with units that have been applied with the Blessing of Tide. Its duration is very short, so avoiding its edge is the most effective way. "
阿兹尔,Azir,"-Keep in mind that unless you are preparing to kill the enemy in a wave, don't release the two sand soldiers from [W Sand Soldiers]. It is best to keep a yellow sand soldier in your hands at all times. You can use it to escape through walls, or you can release it for additional damage when you are away from another soldier.  -When laning, try to put your soldiers between the enemy minions and the enemy heroes. In this way, you can use them to make up the knife and put pressure on your opponent.  -First, consider [R Forbidden Army's Wall] as a defensive skill. You can use it to stop the enemy from chasing your teammates. Remember, your teammates can walk through [R Forbidden Army Wall], so you can use it to create an advantage when the enemy melee hero wants to go to war.  -Take you super god and take you to fly! ","-Azir relies on his soldiers to output damage, and waits for a while every time a soldier moves. Try to gain an advantage when his soldiers cannot move.  -Azir's continuous output is very impressive, but it lacks the one-time burst damage of other mages. Try to kill him before he can launch a counterattack.  -Please try to treat the yellow sand soldiers as flames. Don't stand in the flames. "
悠米,Yuumi,,
莎弥拉,Samira,,
锤石,Thresh,-Communication is the key to making good use of Thresh's [W Soul Induction Lamp]. Let your teammates know how you want to use it.  -[Q Death Judgment] and [E Doom Pendulum] can be combined arbitrarily to form a powerful combo.  -Thresh can collect souls without personally killing units. Plan your map position to get as close to death as possible so that you can collect souls most efficiently. ,"-Thresh’s [Q Death Judgment] has a long casting time. Pay attention to his casting actions to avoid.  -Deliberately breaking a wall of [R Nether Prison] can allow a fragile ally to escape safely.  -Thresh relies on collecting souls to increase his survivability and damage. When he wants to collect souls, show him some colors. "
俄洛伊,Illaoi,"-Tentacles are an excellent source of strength. Don't fight without their help.  -The soul will inherit the current health value of the target. If your purpose is to make one  Body  , It is necessary to reduce the health of your opponent as much as possible to make killing souls more comfortable for Master  -[Cross-Boundary Belief] It's best to be used as a powerful first-hand skill to pick up teammates from behind, or to use it when a battle is in progress. When you act as a teamfighter yourself, you must be heavy. ","-Killing the tentacles as often as possible will make you more comfortable for Master Yi to defeat Russian Rakan Yi.  -When your soul is pulled away, fight back as much as possible. Damage to the Russian Rakanyi will reduce the duration of the soul.  -Avoid being hit by [Cross-Border Belief] to your side, thereby reducing the number of tentacles generated by Rakanyi. "
雷克塞,Rek’Sai,"-Covering the entire map with tunnels will ensure that you have enough choices when you want to cast [R Void Rush].  -Cast [W Escape] first, and then move around on the map to take advantage of the movement speed bonus and the safety provided by [Earth Listening].  -[Earth Hearing] can provide a warning when the enemy approaches you, especially useful when you enter the enemy half. ","-If you find a tunnel entrance in Rek’Sai, you only need to step on it for a while to destroy the tunnel.  -Rek’Sai’s [E Wild Bites] will get a damage boost from her anger. It is best to be careful when Rek’Sai is full of anger.  -When Rek’Sai is nearby, she can see where you and your teammates are, but as long as you don’t move, they won’t be exposed. "
艾翁,Ivern,-Try to use an exquisite [Q root deep enemy solid] to connect [E plant beans and melon] to help allies.  -Use [W 揠苗Assists] to bury the ambush!  -Xiaoju can block skill shooting and delay the enemy. Use her to block damage for your allies! ,"-Ivern is very slippery. Be careful when chasing him.  -Ivern's bushes can last a long time. Beware of the ambush!  -Be careful when fighting Ivern alone, because he can recruit Xiaoju to help! "
卡莉丝塔,Kalista,"-Rip is a useful tool to repair the knife, because it resets the cooldown after killing a unit.  -When performing a movement command that triggers a martial arts stance, Kalista's general attack target will not be cleared.  -Due to her passive skills, Kalista's movement speed will be significantly improved by attack speed. ","-Kalista's mobility depends on her attack. This means that when she has no enemies within range, her mobility will be very low, and if her attack speed is slowed down, her displacement distance in a battle will also be reduced a lot.  -Kalista cannot cancel her basic attack. Although her mobility is very good, if you predict that she will start to attack, then this feature will provide you with an opportunity to cast her skills.  -If you can get out of Kalista's sight (such as walking into the grass), then her normal attacks on you will miss and fall to the ground. "
巴德,Bard,"-It is very important to collect harmonic sounds to enhance the wood spirits' attacks, but don't neglect your laning partner! You can try to bring another friendly army to use your [Magic Journey] to make a grand debut on a certain front.  -Let your [Sacred Altar Tour] fully charge-they will heal more health when full of energy.  -Don’t forget, the enemy can also use your [Magic Journey] portal, and your ultimate skills will also take effect on your allies! ","-Bard’s opponents can also be teleported through his [Magic Journey]. You can follow him into the door if you think it is safe.  -You only need to step on Bard's healing shrine to destroy them. If Bard's teammates want to eat the altar to regain their blood, it is best to make them pay a price.  -Bard’s ultimate skill, [Reconciling Destiny], can affect allies, enemies, wild monsters and towers. Sometimes you can jump into its range to gain an advantage! "
洛,Rakan,"-Rakan needs friendly troops nearby to make his skills work.  Rakan's advancing speed can be increased by his movement speed. Use burst speed to surprise your enemies!  When you let the danger come, you know how fun the danger is. ","-Rakan's displacement skills will show the destination in advance.  -As long as you have fast-acting control skills, you can deal with Rakan well.  If there are no friendly forces near Rakan, his mobility will be severely inhibited. So try to catch him when Rakan is in the order. "
霞,Xayah,"-Xayah's attacks and skills will leave feathers on the ground, which can be recalled later, causing a large range of damage and control effects.  -Xayah can use [R Storm Feather Blade] to dodge almost all skills while creating tons of feathers. Try to make good use of the characteristics of this skill in both attack and defense. ","-Xayah's barb will only imprison those targets hit by 3 or more feathers.  -A long battle with Xayah in the same area will cause her to throw a lot of feathers. Try to play while moving!  -Kill her when you are fully prepared. Beware, Xayah's ultimate ability cannot be selected, and the battle will soon become more beneficial to her. "
奥恩,Ornn,"-Master the equipment synthesis route, which can help you quickly select equipment to upgrade online.  -[Volcanic ridge] can be used to set up artificial terrain to deter the enemy.  -The order in which your skills are cast is very important! Try to maximize the effect of [Master Yi Broken]. ","-Stay away from the wall. If Ornn doesn't stun you, then he isn't that strong.  -Attacking Ornn will prevent him from making equipment online. "
塞拉斯,Sylas,"-The best effect will be achieved when you or the enemy's blood volume is low, and then cast [King Killing Spike].  -Every time the skill is released, an additional basic attack will be added to maximize the effect of [Breaking the Enemy Forbidden Method].  -The wise use of the enemy's ultimate skills can open up new opportunities for your own team. ","-Sylas's health bar is deceptive, beware of his [King Killing Spike]!  -Try to fight Sylas when he can't get your ultimate skills. "
妮蔻,Neeko,"-You can set her passive to the hotkey in the [Options] menu. The default key position is [SHIFT]+[F1~F5]  Try your best to choose the timing of your [Natural Magic Charm]. If it is useless, it will cause the enemy to alert. ","-When fighting against Neeko, it is very dangerous to stand behind the minions, because [Tangle Barbs] will become stronger.  When Neeko is in a disguised state, the warning visual effect of [Blooming] is invisible. "
厄斐琉斯,Aphelios,"-Aphelios each weapon has different advantages, so try to find the output environment that is conducive to your current weapon. ","-Aphelios each weapon has different shortcomings, try to attack him when he gets a weapon that is good for your hero. Beware of the purple gravity gun, it can imprison you. "
芮尔,,,
派克,Pyke,,
永恩,Yone,,
瑟提,Sett,,
莉莉娅,Lillia,,
